title,text,label
"IU praises ‘When Life Gives You Tangerines’ co-star Park Bo-gum as ‘principled and disciplined’, recalls heartwarming gesture with child actor","IU praises ‘When Life Gives You Tangerines’ co-star Park Bo-gum as ‘principled and disciplined’, recalls heartwarming gesture with child actor",1
Graceful midi dresses to try this Easter,Graceful midi dresses to try this Easter,1
How to get Silk Touch in Minecraft,How to get Silk Touch in Minecraft,1
5 Zodiac Signs who are the Queens of Elegance and Grace,5 Zodiac Signs who are the Queens of Elegance and Grace,1
Watch: How to make Blue Ice,Watch: How to make Blue Ice,1
Everglades restoration would protect Florida Keys while scientists watch drought conditions,Everglades restoration would protect Florida Keys while scientists watch drought conditions,1
"Prince Harry Trial Verdict: Legal Team Gives Major Update, $1.9 Million Bill Revealed","Prince Harry Trial Verdict: Legal Team Gives Major Update, $1.9 Million Bill Revealed",1
6 easiest art activities to do with children over the summer holidays,6 easiest art activities to do with children over the summer holidays,1
‘Medicine pollution is changing salmon migration — it impacts how fish see risks’,‘Medicine pollution is changing salmon migration — it impacts how fish see risks’,1
"'One temple, one cremation ground': RSS chief's call for social unity","'One temple, one cremation ground': RSS chief's call for social unity",1
Try this staple red fruit found in every kitchen for hair growth and volume,Try this staple red fruit found in every kitchen for hair growth and volume,1
Did Taylor Swift erase Joe Alwyn from her legacy after dating Travis Kelce on purpose? A closer look at her quiet transformation,Did Taylor Swift erase Joe Alwyn from her legacy after dating Travis Kelce on purpose? A closer look at her quiet transformation,1
'Nahi crying': Pooran’s heartwarming moment with Avesh’s mother. Watch!,'Nahi crying': Pooran’s heartwarming moment with Avesh’s mother. Watch!,1
"Leo Horoscope Tomorrow, April 21, 2025: Favorable day for long-term financial planning","Leo Horoscope Tomorrow, April 21, 2025: Favorable day for long-term financial planning",1
"‘Mass-produced sugar came from chemicals, corruption — and environmental destruction’","‘Mass-produced sugar came from chemicals, corruption — and environmental destruction’",1
Erin Andrews' husband shares what he really thinks about Taylor Swift and Travis Kelce's romance,Erin Andrews' husband shares what he really thinks about Taylor Swift and Travis Kelce's romance,1
‘6 US Drones Destroyed In Just…’: Houthis Escalate Attack Amid American Airstrikes On Yemen,‘6 US Drones Destroyed In Just…’: Houthis Escalate Attack Amid American Airstrikes On Yemen,1
8 Indian states where women drink the most alcohol,8 Indian states where women drink the most alcohol,1
When Ashneer Grover told BluSmart’s Anmol Jaggi: 'Tere saath mil kar...',When Ashneer Grover told BluSmart’s Anmol Jaggi: 'Tere saath mil kar...',1
IIMK Data Science and AI Programme,IIMK Data Science and AI Programme,1
‘Do we want to study in US campus where we are scared all time?’,‘Do we want to study in US campus where we are scared all time?’,1
An incessant crackdown in Belarus hurls dozens of independent journalists into harsh prisons,An incessant crackdown in Belarus hurls dozens of independent journalists into harsh prisons,1
Too much of this popular superfood can cause cancer: Know if you are at risk,Too much of this popular superfood can cause cancer: Know if you are at risk,1
8 small lessons to take from the superhit book ‘How to Win Friends and Influence People’,8 small lessons to take from the superhit book ‘How to Win Friends and Influence People’,1
Katrina's 'VK' mehendi for Vicky is the cutest love note ever,Katrina's 'VK' mehendi for Vicky is the cutest love note ever,1
Why Elon Musk just got loads of flowers delivered to Mumbai,Why Elon Musk just got loads of flowers delivered to Mumbai,1
Benson Boone responds to Coachella Crowd’s reaction to Brian May,Benson Boone responds to Coachella Crowd’s reaction to Brian May,1
'Shame!' chants ring out as thousands protest Trump policies across US: 10 things to know,'Shame!' chants ring out as thousands protest Trump policies across US: 10 things to know,1
BTS Member Jimin Engages Fans Ahead of Military Discharge,BTS Member Jimin Engages Fans Ahead of Military Discharge,1
Discovering Elephant Beach: The Andamans’ best-kept secret,Discovering Elephant Beach: The Andamans’ best-kept secret,1
Doctor recommends 5 refreshing drinks that will help poop naturally,Doctor recommends 5 refreshing drinks that will help poop naturally,1
Usha's interesting revelations about Celebrity MasterChef,Usha's interesting revelations about Celebrity MasterChef,1
​6 countries where gold is cheaper than India​,​6 countries where gold is cheaper than India​,1
Is justice delivery better in south India than north? What rankings reveal,Is justice delivery better in south India than north? What rankings reveal,1
Easter Chaos In Greece: Fires & Flames Erupt Outside Athens Church During Celebration | WATCH,Easter Chaos In Greece: Fires & Flames Erupt Outside Athens Church During Celebration | WATCH,1
8 refreshing Pineapple desserts to try this summer,8 refreshing Pineapple desserts to try this summer,1
When Facebook CEO Mark Zuckerberg 'predicted' breakup of the company in 2018,When Facebook CEO Mark Zuckerberg 'predicted' breakup of the company in 2018,1
Lebanese Garlic Sauce,Lebanese Garlic Sauce,1
8 bird beaks that look painted by an artist,8 bird beaks that look painted by an artist,1
Watch: How to make Vetrilai Nattukozhi,Watch: How to make Vetrilai Nattukozhi,1
Life in the 7 of the world's saddest countries,Life in the 7 of the world's saddest countries,1
'The Crown' actress Olivia Williams' Shocking Cancer Journey Revealed; Is Misdiagnosis the Real Killer?,'The Crown' actress Olivia Williams' Shocking Cancer Journey Revealed; Is Misdiagnosis the Real Killer?,1
How to tame Cats in Minecraft,How to tame Cats in Minecraft,1
Travis Kelce’s emotional rookie moment resurfaces as Chiefs honor 12 years of greatness,Travis Kelce’s emotional rookie moment resurfaces as Chiefs honor 12 years of greatness,1
Why Pakistan’s ruling elites keep harping on two-nation theory,Why Pakistan’s ruling elites keep harping on two-nation theory,1
Jasmin gets candid about her wedding plans with Aly,Jasmin gets candid about her wedding plans with Aly,1
Viral video: 14-year-old Vaibhav Suryavanshi in tears after debut IPL dismissal,Viral video: 14-year-old Vaibhav Suryavanshi in tears after debut IPL dismissal,1
Marvel Rivals Season 2 Hero Tier List: Best heroes for high and low ranks,Marvel Rivals Season 2 Hero Tier List: Best heroes for high and low ranks,1
Watch: 1-Minute Cookie Challenge,Watch: 1-Minute Cookie Challenge,1
"‘Chocolate has an incredible history of wealth, slavery, great ecological richness — and deep loss’","‘Chocolate has an incredible history of wealth, slavery, great ecological richness — and deep loss’",1
Why govt says poverty is falling but those taking free food never does,Why govt says poverty is falling but those taking free food never does,1
'Yaha holiday manane aate hai': Sehwag slams IPL foreigners,'Yaha holiday manane aate hai': Sehwag slams IPL foreigners,1
Top 5 Souls-like games of all time,Top 5 Souls-like games of all time,1
Woman auto driver gang-raped by 2 men who posed as ‘Army jawans’,Woman auto driver gang-raped by 2 men who posed as ‘Army jawans’,1
"‘Kesari Chapter 2’ box office collection day 2: Akshay Kumar, Madhavan's courtroom drama witnesses a growth, inches towards Rs. 20 crore mark","‘Kesari Chapter 2’ box office collection day 2: Akshay Kumar, Madhavan's courtroom drama witnesses a growth, inches towards Rs. 20 crore mark",1
Virat Kohli breaks record for most fifty-plus scores in IPL history,Virat Kohli breaks record for most fifty-plus scores in IPL history,1
BTS full-group comeback possibly delayed? CFO’s statement raises eyebrows: 'We are still in the process..',BTS full-group comeback possibly delayed? CFO’s statement raises eyebrows: 'We are still in the process..',1
Azharuddin to move court against HCA ombudsman’s order,Azharuddin to move court against HCA ombudsman’s order,1
"EA FC 25 Samuel Eto'o Future Stars Icon SBC tasks, solutions, and more","EA FC 25 Samuel Eto'o Future Stars Icon SBC tasks, solutions, and more",1
‘When Life Gives You Tangerines’ star IU shares that playing pregnant on screen felt ‘natural’: There wasn’t even time to feel awkward,‘When Life Gives You Tangerines’ star IU shares that playing pregnant on screen felt ‘natural’: There wasn’t even time to feel awkward,1
Taylor Swift’s iconic ‘silver noodle dress’ steals spotlight at Country Music Hall of Fame in Nashville,Taylor Swift’s iconic ‘silver noodle dress’ steals spotlight at Country Music Hall of Fame in Nashville,1
Fashion's biggest night or PR minefield? The risks of Taylor Swift's potential Met Gala return,Fashion's biggest night or PR minefield? The risks of Taylor Swift's potential Met Gala return,1
Geetika walks out of her ongoing show Dilwali Dulha Le jayegi,Geetika walks out of her ongoing show Dilwali Dulha Le jayegi,1
Utkarsh blames Pushpa 2 and Baby John for Vanvaas failure,Utkarsh blames Pushpa 2 and Baby John for Vanvaas failure,1
"Murshidabad riots: CPI(M) accuses TMC, BJP of 'collusive violence'","Murshidabad riots: CPI(M) accuses TMC, BJP of 'collusive violence'",1
'Bridgerton' star Nicola Coughlan slams J. K. Rowling for celebrating UK Supreme Court's anti-trans ruling,'Bridgerton' star Nicola Coughlan slams J. K. Rowling for celebrating UK Supreme Court's anti-trans ruling,1
"Experiencing Divine Bliss with Ras Mahotsav: Discover Bhakti, Kirtan & Krishna Leela","Experiencing Divine Bliss with Ras Mahotsav: Discover Bhakti, Kirtan & Krishna Leela",1
For mother earth - & her daughters,For mother earth - & her daughters,1
"In Easter greetings, Trump rants against Biden & 'Left lunatics'","In Easter greetings, Trump rants against Biden & 'Left lunatics'",1
Viral video: Preity Zinta spotted chatting with Rajeev Shukla,Viral video: Preity Zinta spotted chatting with Rajeev Shukla,1
Delhi University Vice Chancellor's Summer Internship 2025 registration window closing soon: Check details here,Delhi University Vice Chancellor's Summer Internship 2025 registration window closing soon: Check details here,1
Watch: RJ Mahvash caught clapping after Chahal smashed for 6,Watch: RJ Mahvash caught clapping after Chahal smashed for 6,1
"Happy Easter Sunday 2025: Images, Quotes, Wishes, Messages, Cards, Greetings, whatsapp status, Pictures and GIFs for family and friends","Happy Easter Sunday 2025: Images, Quotes, Wishes, Messages, Cards, Greetings, whatsapp status, Pictures and GIFs for family and friends",1
"Happy Easter Sunday 2025: Top 50 Wishes, Messages, Images and Quotes to share with your family and friends","Happy Easter Sunday 2025: Top 50 Wishes, Messages, Images and Quotes to share with your family and friends",1
"'Throw my ashes ...': UP techie accuses wife of harassment, dies by suicide","'Throw my ashes ...': UP techie accuses wife of harassment, dies by suicide",1
Gurdwara in Canada vandalised with pro-Khalistan graffiti,Gurdwara in Canada vandalised with pro-Khalistan graffiti,1
What is love according to Tom Brady? The seven-time Super Bowl winner speaks from the heart about love as Gisele Bundchen busy with her newly born baby,What is love according to Tom Brady? The seven-time Super Bowl winner speaks from the heart about love as Gisele Bundchen busy with her newly born baby,1
"Libra Horoscope Tomorrow, April 21, 2025: Avoid impulse buying","Libra Horoscope Tomorrow, April 21, 2025: Avoid impulse buying",1
"IPL Live: MI win toss, decide to field vs CSK at Wankhede","IPL Live: MI win toss, decide to field vs CSK at Wankhede",1
